PRS779411917872,2630058.176,1221197.342,730.629,
11083500,2627144.236,1239766.647,435.079,111
6005481,2629303.513,1240218.295,436.092,104
6005195,2629298.105,1240419.881,431.562,104
6005391,2629325.210,1240515.171,430.190,104
6005058,2629283.791,1240470.510,429.525,103
6005511,2629270.691,1240560.015,429.206,104
6005392,2629369.850,1240515.400,430.676,104
6005458,2629423.970,1240476.297,433.055,110
6005544,2629497.863,1240396.124,434.769,114
6005198,2629467.348,1240359.765,435.033,110
6005482,2629385.259,1240293.069,435.202,114
6005387,2629431.336,1240229.817,438.750,114
629486240165,2629487.008,1240166.080,440.379,108
6005201,2629583.832,1240151.114,441.433,114
6005200,2629529.946,1240202.704,442.050,114
6005420,2629559.407,1240245.888,440.948,114
6005421,2629525.981,1240287.985,439.328,114
6005491,2629542.472,1240346.320,437.321,114
6004039,2629566.293,1240365.492,438.068,114
6005509,2629617.314,1240269.374,441.448,114
6005052,2629649.684,1240226.672,444.116,114
6005405,2629717.841,1240162.525,444.957,110
6005269,2629753.778,1240141.871,444.975,114
6005438,2629724.809,1240205.591,446.186,114
6005469,2629758.510,1240271.761,443.927,114
6005470,2629724.563,1240294.919,443.076,114
6005471,2629685.652,1240257.684,444.151,114
6005472,2629773.523,1240341.075,437.919,110
6005473,2629743.591,1240377.140,435.782,110
6005474,2629715.748,1240392.824,435.320,110
6005475,2629656.769,1240351.445,438.765,114
6005476,2629610.764,1240313.652,440.493,114
6005477,2629572.237,1240456.412,433.643,110
6005478,2629615.407,1240494.623,433.016,110
6005479,2629668.302,1240445.502,433.942,110
6005480,2629754.929,1240430.095,434.476,110
6005483,2629707.106,1240477.892,434.282,110
6005484,2629660.578,1240535.055,432.425,110
6005485,2629731.331,1240595.436,432.279,113
6005486,2629853.748,1240696.650,434.891,114
6005487,2629799.123,1240737.867,434.191,114
629796240739,2629796.981,1240740.217,434.168,108
629786240746,2629787.227,1240747.029,434.074,108
629783240742,2629784.062,1240742.592,434.070,108
629744240761,2629745.249,1240762.073,433.447,108
6005038,2629745.491,1240761.099,433.465,114
629741240760,2629741.942,1240760.853,433.321,118
6005346,2629701.118,1240702.786,435.208,100
629642240744,2629643.454,1240745.155,430.044,118
6005341,2629530.096,1240565.247,432.518,104
6005288,2629493.163,1240541.178,432.504,114
6005342,2629579.539,1240543.279,431.809,113
6005343,2630908.869,1240356.931,450.868,100
11084590,2629739.361,1238666.882,428.368,100
6005390,2629487.400,1240668.702,428.689,114
629452240636,2629452.628,1240636.986,429.606,108
6005508,2629531.538,1240867.111,428.014,110
6005510,2629496.558,1240891.166,427.988,113
6005386,2629651.294,1240837.798,428.316,114
6005395,2629695.199,1240804.445,430.674,110
6005396,2629729.359,1240850.769,430.077,114
6005394,2629778.019,1240902.480,427.576,113
6005457,2629785.557,1240984.562,426.650,114
6005422,2629741.513,1240946.443,427.069,110
629741240940,2629741.659,1240940.695,427.229,108
6005545,2629636.104,1240921.123,427.851,114
629636240919,2629637.447,1240919.738,427.905,108
6005388,2629743.857,1241019.890,427.482,114
6005031,2629659.476,1241105.334,427.872,110
629638241166,2629638.460,1241166.550,427.370,108
629796241078,2629796.621,1241079.150,427.237,108
6005499,2629768.777,1241131.178,427.211,114
629744241157,2629745.320,1241157.666,427.320,108
629736241161,2629736.670,1241161.929,427.438,108
6005500,2629732.715,1241162.500,427.430,114
6005418,2629832.937,1241009.847,426.852,114
629836241014,2629837.109,1241014.761,427.031,108
6005393,2629871.016,1240971.328,426.922,110
6005213,2629918.729,1240917.678,427.811,113
6005419,2629901.055,1241051.046,426.366,110
6005411,2629968.892,1241086.568,426.651,110
6005443,2629930.450,1241119.446,426.841,114
6005442,2630001.821,1241147.944,426.757,114
6005296,2630102.058,1241115.299,426.497,113
6005258,2629849.685,1241086.045,427.044,114
6005436,2630067.694,1241174.254,426.614,114
6005437,2630122.975,1241204.819,426.697,114
6005529,2629921.783,1240296.144,436.779,114
6005407,2629888.705,1240338.026,436.289,114
6005408,2629978.789,1240294.784,437.361,114
6005409,2630054.349,1240244.686,438.514,114
6005271,2629905.042,1240201.735,443.156,114
6005270,2629830.607,1240176.395,447.328,114
11084040,2629290.580,1241230.224,427.616,100
